ticker,company,governance_source_type,governance_source_locator,target_variables,coding_status
MSFT,Microsoft Corporation,SEC DEF 14A filing search,https://www.sec.gov/edgar/browse/?CIK=789019&owner=exclude&action=getcompany&type=DEF%2014A,"board_size; independent_director_share; ceo_chair_duality; audit_committee_size; audit_committee_financial_expert; dual_class_flag",SOURCE_REGISTERED
AAPL,Apple Inc.,SEC DEF 14A filing search,https://www.sec.gov/edgar/browse/?CIK=320193&owner=exclude&action=getcompany&type=DEF%2014A,"board_size; independent_director_share; ceo_chair_duality; audit_committee_size; audit_committee_financial_expert; dual_class_flag",SOURCE_REGISTERED
GOOGL,Alphabet Inc.,SEC DEF 14A filing search,https://www.sec.gov/edgar/browse/?CIK=1652044&owner=exclude&action=getcompany&type=DEF%2014A,"board_size; independent_director_share; ceo_chair_duality; audit_committee_size; audit_committee_financial_expert; dual_class_flag",SOURCE_REGISTERED
AMZN,"Amazon.com, Inc.",SEC DEF 14A filing search,https://www.sec.gov/edgar/browse/?CIK=1018724&owner=exclude&action=getcompany&type=DEF%2014A,"board_size; independent_director_share; ceo_chair_duality; audit_committee_size; audit_committee_financial_expert; dual_class_flag",SOURCE_REGISTERED
NVDA,NVIDIA Corporation,SEC DEF 14A filing search,https://www.sec.gov/edgar/browse/?CIK=1045810&owner=exclude&action=getcompany&type=DEF%2014A,"board_size; independent_director_share; ceo_chair_duality; audit_committee_size; audit_committee_financial_expert; dual_class_flag",SOURCE_REGISTERED
META,"Meta Platforms, Inc.",SEC DEF 14A filing search,https://www.sec.gov/edgar/browse/?CIK=1326801&owner=exclude&action=getcompany&type=DEF%2014A,"board_size; independent_director_share; ceo_chair_duality; audit_committee_size; audit_committee_financial_expert; dual_class_flag",SOURCE_REGISTERED
JPM,JPMorgan Chase & Co.,SEC DEF 14A filing search,https://www.sec.gov/edgar/browse/?CIK=19617&owner=exclude&action=getcompany&type=DEF%2014A,"board_size; independent_director_share; ceo_chair_duality; audit_committee_size; audit_committee_financial_expert; dual_class_flag",SOURCE_REGISTERED
WMT,Walmart Inc.,SEC DEF 14A filing search,https://www.sec.gov/edgar/browse/?CIK=104169&owner=exclude&action=getcompany&type=DEF%2014A,"board_size; independent_director_share; ceo_chair_duality; audit_committee_size; audit_committee_financial_expert; dual_class_flag",SOURCE_REGISTERED
XOM,Exxon Mobil Corporation,SEC DEF 14A filing search,https://www.sec.gov/edgar/browse/?CIK=34088&owner=exclude&action=getcompany&type=DEF%2014A,"board_size; independent_director_share; ceo_chair_duality; audit_committee_size; audit_committee_financial_expert; dual_class_flag",SOURCE_REGISTERED
TSLA,"Tesla, Inc.",SEC DEF 14A filing search,https://www.sec.gov/edgar/browse/?CIK=1318605&owner=exclude&action=getcompany&type=DEF%2014A,"board_size; independent_director_share; ceo_chair_duality; audit_committee_size; audit_committee_financial_expert; dual_class_flag",SOURCE_REGISTERED
